Thk_dec_in,Thk_frac_in,W_dec_in,W_frac_in
1.2500,1  1/4 ,1.7500,1  3/4 
1.2500,1  1/4 ,1.8750,1  7/8 
1.2500,1  1/4 ,2.0000,2
1.2500,1  1/4 ,2.2500,2  1/4 
1.2500,1  1/4 ,2.5000,2  1/2 
1.2500,1  1/4 ,2.7500,2  3/4 
1.2500,1  1/4 ,3.0000,3
1.2500,1  1/4 ,3.2500,3  1/4 
1.2500,1  1/4 ,3.5000,3  1/2 
1.2500,1  1/4 ,3.7500,3  3/4 
1.2500,1  1/4 ,4.0000,4
1.2500,1  1/4 ,4.5000,4  1/2 
1.2500,1  1/4 ,5.0000,5
1.2500,1  1/4 ,5.5000,5  1/2 
1.2500,1  1/4 ,6.0000,6
1.2500,1  1/4 ,7.0000,7
1.2500,1  1/4 ,8.0000,8
1.2500,1  1/4 ,9.0000,9
1.2500,1  1/4 ,10.0000,10
1.2500,1  1/4 ,11.0000,11
1.2500,1  1/4 ,12.0000,12
1.2500,1  1/4 ,14.0000,14
1.3750,1  3/8 ,1.5000,1  1/2 
1.3750,1  3/8 ,2.0000,2
1.3750,1  3/8 ,3.0000,3
1.5000,1  1/2 ,1.5000,1  1/2 
1.5000,1  1/2 ,1.6250,1  5/8 
1.5000,1  1/2 ,1.7500,1  3/4 
1.5000,1  1/2 ,2.0000,2
1.5000,1  1/2 ,2.2500,2  1/4 
1.5000,1  1/2 ,2.5000,2  1/2 
1.5000,1  1/2 ,2.7500,2  3/4 
1.5000,1  1/2 ,3.0000,3
1.5000,1  1/2 ,3.2500,3  1/4 
1.5000,1  1/2 ,3.5000,3  1/2 
1.5000,1  1/2 ,4.0000,4
1.5000,1  1/2 ,4.5000,4  1/2 
1.5000,1  1/2 ,5.0000,5
1.5000,1  1/2 ,5.5000,5  1/2 
1.5000,1  1/2 ,6.0000,6
1.5000,1  1/2 ,6.5000,6  1/2 
1.5000,1  1/2 ,7.0000,7
1.5000,1  1/2 ,7.5000,7  1/2 
1.5000,1  1/2 ,8.0000,8
1.5000,1  1/2 ,9.0000,9
1.5000,1  1/2 ,10.0000,10
1.5000,1  1/2 ,10.5000,10  1/2 
1.5000,1  1/2 ,11.0000,11
1.5000,1  1/2 ,12.0000,12
1.5000,1  1/2 ,14.0000,14
1.5000,1  1/2 ,16.0000,16
1.5000,1  1/2 ,20.0000,20
1.6250,1  5/8 ,2.0000,2
1.6250,1  5/8 ,3.0000,3
1.6250,1  5/8 ,4.0000,4
1.6250,1  5/8 ,6.0000,6
1.7500,1  3/4 ,1.7500,1  3/4 
1.7500,1  3/4 ,2.0000,2
1.7500,1  3/4 ,2.2500,2  1/4 
1.7500,1  3/4 ,2.5000,2  1/2 
1.7500,1  3/4 ,2.7500,2  3/4 
1.7500,1  3/4 ,3.0000,3
1.7500,1  3/4 ,3.2500,3  1/4 
1.7500,1  3/4 ,3.5000,3  1/2 
1.7500,1  3/4 ,3.7500,3  3/4 
1.7500,1  3/4 ,4.0000,4
1.7500,1  3/4 ,4.5000,4  1/2 
1.7500,1  3/4 ,5.0000,5
1.7500,1  3/4 ,5.5000,5  1/2 
1.7500,1  3/4 ,6.0000,6
1.7500,1  3/4 ,7.0000,7
1.7500,1  3/4 ,8.0000,8
1.7500,1  3/4 ,10.0000,10
1.7500,1  3/4 ,12.0000,12
2.0000,2,2.0000,2
2.0000,2,2.2500,2  1/4 
2.0000,2,2.5000,2  1/2 
2.0000,2,2.7500,2  3/4 
2.0000,2,3.0000,3
2.0000,2,3.2500,3  1/4 
2.0000,2,3.5000,3  1/2 
2.0000,2,3.7500,3  3/4 
2.0000,2,4.0000,4
2.0000,2,4.2500,4  1/4 
2.0000,2,4.5000,4  1/2 
2.0000,2,5.0000,5
2.0000,2,5.5000,5  1/2 
2.0000,2,6.0000,6
2.0000,2,6.5000,6  1/2 
2.0000,2,7.0000,7
2.0000,2,8.0000,8
2.0000,2,9.0000,9
2.0000,2,10.0000,10
2.0000,2,11.0000,11
2.0000,2,12.0000,12
2.0000,2,14.0000,14
2.0000,2,16.0000,16
2.0000,2,20.0000,20
2.2500,2  1/4 ,2.2500,2  1/4 
2.2500,2  1/4 ,2.5000,2  1/2 
2.2500,2  1/4 ,2.7500,2  3/4 
2.2500,2  1/4 ,3.0000,3
2.2500,2  1/4 ,3.2500,3  1/4 
2.2500,2  1/4 ,3.5000,3  1/2 
2.2500,2  1/4 ,4.0000,4
2.2500,2  1/4 ,4.5000,4  1/2 
2.2500,2  1/4 ,5.0000,5
2.2500,2  1/4 ,5.5000,5  1/2 
2.2500,2  1/4 ,6.0000,6
2.2500,2  1/4 ,8.0000,8
2.2500,2  1/4 ,10.0000,10
2.2500,2  1/4 ,12.0000,12
2.5000,2  1/2 ,2.5000,2  1/2 
2.5000,2  1/2 ,2.7500,2  3/4 
2.5000,2  1/2 ,3.0000,3
2.5000,2  1/2 ,3.5000,3  1/2 
2.5000,2  1/2 ,4.0000,4
2.5000,2  1/2 ,4.5000,4  1/2 
2.5000,2  1/2 ,5.0000,5
2.5000,2  1/2 ,5.5000,5  1/2 
2.5000,2  1/2 ,6.0000,6
2.5000,2  1/2 ,7.0000,7
2.5000,2  1/2 ,8.0000,8
2.5000,2  1/2 ,8.5000,8  1/2 
2.5000,2  1/2 ,9.0000,9
2.5000,2  1/2 ,10.0000,10
2.5000,2  1/2 ,12.0000,12
2.5000,2  1/2 ,14.0000,14
2.5000,2  1/2 ,16.0000,16
2.5000,2  1/2 ,20.0000,20
2.7500,2  3/4 ,3.0000,3
2.7500,2  3/4 ,3.5000,3  1/2 
2.7500,2  3/4 ,4.0000,4
2.7500,2  3/4 ,6.0000,6
3.0000,3,3.0000,3
3.0000,3,3.5000,3  1/2 
3.0000,3,4.0000,4
3.0000,3,4.5000,4  1/2 
3.0000,3,5.0000,5
3.0000,3,5.5000,5  1/2 
3.0000,3,6.0000,6
3.0000,3,7.0000,7
3.0000,3,8.0000,8
3.0000,3,9.0000,9
3.0000,3,10.0000,10
3.0000,3,12.0000,12
3.0000,3,14.0000,14
3.0000,3,16.0000,16
3.0000,3,20.0000,20
3.5000,3  1/2 ,3.5000,3  1/2 
3.5000,3  1/2 ,4.0000,4
3.5000,3  1/2 ,4.5000,4  1/2 
3.5000,3  1/2 ,5.0000,5
3.5000,3  1/2 ,5.5000,5  1/2 
3.5000,3  1/2 ,6.0000,6
3.5000,3  1/2 ,7.0000,7
3.5000,3  1/2 ,8.0000,8
3.5000,3  1/2 ,8.5000,8  1/2 
3.5000,3  1/2 ,9.0000,9
3.5000,3  1/2 ,10.0000,10
3.5000,3  1/2 ,12.0000,12
3.5000,3  1/2 ,14.0000,14
3.5000,3  1/2 ,16.0000,16
3.5000,3  1/2 ,20.0000,20
4.0000,4,4.0000,4
4.0000,4,4.5000,4  1/2 
4.0000,4,5.0000,5
4.0000,4,5.5000,5  1/2 
4.0000,4,6.0000,6
4.0000,4,7.0000,7
4.0000,4,8.0000,8
4.0000,4,9.0000,9
4.0000,4,10.0000,10
4.0000,4,12.0000,12
4.0000,4,14.0000,14
4.0000,4,16.0000,16
4.0000,4,20.0000,20
4.5000,4  1/2 ,4.5000,4  1/2 
4.5000,4  1/2 ,5.0000,5
4.5000,4  1/2 ,5.5000,5  1/2 
4.5000,4  1/2 ,6.0000,6
4.5000,4  1/2 ,7.0000,7
4.5000,4  1/2 ,8.0000,8
4.5000,4  1/2 ,9.0000,9
4.5000,4  1/2 ,10.0000,10
4.5000,4  1/2 ,12.0000,12
4.5000,4  1/2 ,14.0000,14
4.5000,4  1/2 ,16.0000,16
4.5000,4  1/2 ,20.0000,20
5.0000,5,5.0000,5
5.0000,5,5.5000,5  1/2 
5.0000,5,6.0000,6
5.0000,5,7.0000,7
5.0000,5,8.0000,8
5.0000,5,9.0000,9
5.0000,5,10.0000,10
5.0000,5,12.0000,12
5.0000,5,14.0000,14
5.0000,5,16.0000,16
5.0000,5,20.0000,20
5.5000,5  1/2 ,6.0000,6
6.0000,6,6.0000,6
6.0000,6,7.0000,7
6.0000,6,8.0000,8
6.0000,6,9.0000,9
6.0000,6,10.0000,10
6.0000,6,12.0000,12
6.0000,6,14.0000,14
6.0000,6,16.0000,16
6.0000,6,20.0000,20
